Priority,WorkOrder,capable_resource_groups,idle_minutes,ETA,DueDate,Delay,DelayWithoutIdleTime,TimeDifference
43,WO100090-40,39,621,2023-11-28 08:35:00.000,2023-05-12 00:00:00.000,200 days 08:35:00,199 days 22:14:00,0 days 10:21:00
44,WO100092-30,16|17,189,2023-11-27 14:20:00.000,,,,
44,WO100092-40,24,0,2023-11-28 13:19:00.000,,,,
67,WO100312-10,2|1,30,2023-11-29 12:37:00.000,2023-08-28 00:00:00.000,93 days 12:37:00,93 days 12:07:00,0 days 00:30:00
67,WO100312-20,53,685,2023-12-07 09:22:00.000,2023-08-28 00:00:00.000,101 days 09:22:00,100 days 21:57:00,0 days 11:25:00
67,WO100312-30,53,354,2023-12-11 10:15:00.000,2023-08-28 00:00:00.000,105 days 10:15:00,105 days 04:21:00,0 days 05:54:00
38,WO100324-10,38,1393,2023-11-29 13:40:42.600,2023-03-03 00:00:00.000,271 days 13:40:42.600000,270 days 14:27:42.600000,0 days 23:13:00
82,WO100801-20,39,691,2023-11-28 09:45:00.000,2023-09-15 00:00:00.000,74 days 09:45:00,73 days 22:14:00,0 days 11:31:00
45,WO100946-20,104,0,2023-11-27 07:00:00.000,2023-05-29 00:00:00.000,182 days 07:00:00,182 days 07:00:00,0 days 00:00:00
51,WO101246-10,2|1,30,2023-11-27 07:29:57.000,2023-06-27 00:00:00.000,153 days 07:29:57,153 days 06:59:57,0 days 00:30:00
51,WO101246-20,77,2887,2023-12-11 12:00:00.000,2023-06-27 00:00:00.000,167 days 12:00:00,165 days 11:53:00,2 days 00:07:00
51,WO101246-30,69,196,2024-01-02 08:40:00.000,2023-06-27 00:00:00.000,189 days 08:40:00,189 days 05:24:00,0 days 03:16:00
138,WO101262-10,2|1,2584,2023-12-06 06:33:00.000,2023-12-15 00:00:00.000,-9 days +06:33:00,-11 days +11:29:00,1 days 19:04:00
138,WO101262-20,77,10729,2024-01-10 08:42:00.000,2023-12-15 00:00:00.000,26 days 08:42:00,18 days 21:53:00,7 days 10:49:00
138,WO101262-30,69,394,2024-01-16 11:14:00.000,2023-12-15 00:00:00.000,32 days 11:14:00,32 days 04:40:00,0 days 06:34:00
36,WO101503-10,69,0,2023-11-27 07:00:00.000,2023-02-22 00:00:00.000,278 days 07:00:00,278 days 07:00:00,0 days 00:00:00
37,WO101505-10,69,0,2023-11-27 07:26:00.000,2023-02-23 00:00:00.000,277 days 07:26:00,277 days 07:26:00,0 days 00:00:00
229,WO101554-20,53,19886,2024-01-26 09:01:00.000,,,,
229,WO101554-30,53,165,2024-01-30 06:45:00.000,,,,
41,WO101839-10,36,180,2023-11-27 10:00:00.000,2023-04-26 00:00:00.000,215 days 10:00:00,215 days 07:00:00,0 days 03:00:00
32,WO102028-10,67,30,2023-11-27 07:29:51.600,2024-02-29 00:00:00.000,-94 days +07:29:51.600000,-94 days +06:59:51.600000,0 days 00:30:00
292,WO102029-10,67,1001,2023-11-28 14:55:58.200,2024-02-15 00:00:00.000,-79 days +14:55:58.200000,-80 days +22:14:58.200000,0 days 16:41:00
47,WO102847-20,104,0,2023-11-27 07:00:00.000,2023-06-02 00:00:00.000,178 days 07:00:00,178 days 07:00:00,0 days 00:00:00
291,WO103020-10,2|1,7106,2023-12-21 10:56:00.000,2024-02-09 00:00:00.000,-50 days +10:56:00,-55 days +12:30:00,4 days 22:26:00
291,WO103020-20,53,25602,2024-03-13 08:21:00.000,2024-02-09 00:00:00.000,33 days 08:21:00,15 days 13:39:00,17 days 18:42:00
291,WO103020-30,53,415,2024-03-15 06:45:00.000,2024-02-09 00:00:00.000,35 days 06:45:00,34 days 23:50:00,0 days 06:55:00
64,WO103451-10,38,1482,2023-11-29 14:10:42.600,2023-08-25 00:00:00.000,96 days 14:10:42.600000,95 days 13:28:42.600000,1 days 00:42:00
142,WO103648-10,105|97,23,2023-12-04 06:45:00.000,2023-11-20 00:00:00.000,14 days 06:45:00,14 days 06:22:00,0 days 00:23:00
141,WO103649-10,105|97,0,2023-11-27 07:00:00.000,2023-11-20 00:00:00.000,7 days 07:00:00,7 days 07:00:00,0 days 00:00:00
53,WO103935-10,58,161,2023-11-27 10:05:00.000,2023-06-30 00:00:00.000,150 days 10:05:00,150 days 07:24:00,0 days 02:41:00
53,WO103935-20,53,837,2023-11-30 07:10:00.000,2023-06-30 00:00:00.000,153 days 07:10:00,152 days 17:13:00,0 days 13:57:00
52,WO103940-10,58,131,2023-11-27 09:11:00.000,2023-06-30 00:00:00.000,150 days 09:11:00,150 days 07:00:00,0 days 02:11:00
52,WO103940-20,53,0,2023-11-28 11:56:00.000,2023-06-30 00:00:00.000,151 days 11:56:00,151 days 11:56:00,0 days 00:00:00
42,WO103999-10,69,906,2023-11-29 09:55:00.000,2023-05-04 00:00:00.000,209 days 09:55:00,208 days 18:49:00,0 days 15:06:00
173,WO104119-10,105|97,0,2024-01-10 08:32:00.000,2023-11-28 00:00:00.000,43 days 08:32:00,43 days 08:32:00,0 days 00:00:00
175,WO104120-10,105|97,522,2024-01-15 10:58:00.000,2023-11-28 00:00:00.000,48 days 10:58:00,48 days 02:16:00,0 days 08:42:00
173,WO104121-10,74|106|108,0,2023-11-28 10:42:00.000,,,,
173,WO104121-20,9,5640,2023-12-14 09:30:00.000,,,,
173,WO104125-10,27,0,2023-11-27 13:08:00.000,,,,
173,WO104138-10,27,398,2023-11-28 10:12:00.000,,,,
175,WO104436-10,38,2840,2023-12-04 14:00:00.000,,,,
175,WO104437-10,38,2870,2023-12-04 14:30:00.000,,,,
175,WO104440-10,38,2900,2023-12-04 15:00:00.000,,,,
175,WO104441-10,38,2919,2023-12-05 06:34:37.800,,,,
175,WO104442-10,38,2870,2023-12-04 14:49:37.800,,,,
175,WO104570-10,67,367,2023-11-27 13:07:51.600,,,,
173,WO104571-10,67,316,2023-11-27 12:16:00.000,,,,
40,WO105926-10,44,0,2023-11-27 07:00:00.000,2023-04-17 00:00:00.000,224 days 07:00:00,224 days 07:00:00,0 days 00:00:00
206,WO106719-10,24,2104,2023-12-05 13:01:00.000,2023-12-11 00:00:00.000,-6 days +13:01:00,-7 days +01:57:00,1 days 11:04:00
206,WO106719-20,69,0,2023-12-05 13:31:00.000,2023-12-11 00:00:00.000,-6 days +13:31:00,-6 days +13:31:00,0 days 00:00:00
63,WO106726-20,58,331,2023-11-28 13:08:00.000,2023-08-07 00:00:00.000,113 days 13:08:00,113 days 07:37:00,0 days 05:31:00
63,WO106726-30,44,128,2023-11-29 13:54:00.000,2023-08-07 00:00:00.000,114 days 13:54:00,114 days 11:46:00,0 days 02:08:00
56,WO106735-10,16|17,189,2023-11-29 14:36:00.000,2023-08-07 00:00:00.000,114 days 14:36:00,114 days 11:27:00,0 days 03:09:00
56,WO106735-20,58,40,2023-12-11 14:21:00.000,2023-08-07 00:00:00.000,126 days 14:21:00,126 days 13:41:00,0 days 00:40:00
56,WO106735-30,31,55,2023-12-12 10:58:00.000,2023-08-07 00:00:00.000,127 days 10:58:00,127 days 10:03:00,0 days 00:55:00
56,WO106735-40,42,0,2023-12-12 11:38:00.000,2023-08-07 00:00:00.000,127 days 11:38:00,127 days 11:38:00,0 days 00:00:00
56,WO106735-50,39,0,2023-12-12 12:18:00.000,2023-08-07 00:00:00.000,127 days 12:18:00,127 days 12:18:00,0 days 00:00:00
57,WO106751-20,58,215,2023-11-27 12:01:00.000,2023-08-07 00:00:00.000,112 days 12:01:00,112 days 08:26:00,0 days 03:35:00
57,WO106751-30,44,590,2023-11-28 14:35:00.000,2023-08-07 00:00:00.000,113 days 14:35:00,113 days 04:45:00,0 days 09:50:00
61,WO106756-10,18,0,2023-11-28 07:50:00.000,2023-08-07 00:00:00.000,113 days 07:50:00,113 days 07:50:00,0 days 00:00:00
61,WO106756-20,24,0,2023-11-28 09:50:00.000,2023-08-07 00:00:00.000,113 days 09:50:00,113 days 09:50:00,0 days 00:00:00
61,WO106756-30,69,326,2023-11-29 14:22:00.000,2023-08-07 00:00:00.000,114 days 14:22:00,114 days 08:56:00,0 days 05:26:00
61,WO106758-20,8,215,2023-11-27 10:35:00.000,2023-08-07 00:00:00.000,112 days 10:35:00,112 days 07:00:00,0 days 03:35:00
62,WO106763-40,39,651,2023-11-28 09:15:00.000,2023-08-07 00:00:00.000,113 days 09:15:00,112 days 22:24:00,0 days 10:51:00
60,WO106827-10,16|17,189,2023-11-28 17:02:00.000,2023-08-07 00:00:00.000,113 days 17:02:00,113 days 13:53:00,0 days 03:09:00
60,WO106827-20,24,0,2023-11-29 08:30:00.000,2023-08-07 00:00:00.000,114 days 08:30:00,114 days 08:30:00,0 days 00:00:00
60,WO106827-30,69,406,2023-12-04 06:56:00.000,2023-08-07 00:00:00.000,119 days 06:56:00,119 days 00:10:00,0 days 06:46:00
60,WO106828-20,8,352,2023-11-27 13:52:00.000,2023-08-07 00:00:00.000,112 days 13:52:00,112 days 08:00:00,0 days 05:52:00
59,WO106881-20,58,5366,2023-12-18 10:29:00.000,2023-08-07 00:00:00.000,133 days 10:29:00,129 days 17:03:00,3 days 17:26:00
59,WO106881-30,44,287,2023-12-21 08:54:00.000,2023-08-07 00:00:00.000,136 days 08:54:00,136 days 04:07:00,0 days 04:47:00
171,WO106888-20,24,297,2023-11-27 11:57:00.000,2023-12-12 00:00:00.000,-15 days +11:57:00,-15 days +07:00:00,0 days 04:57:00
171,WO106888-30,69,7459,2024-01-10 14:43:00.000,2023-12-12 00:00:00.000,29 days 14:43:00,24 days 10:24:00,5 days 04:19:00
71,WO107028-10,58,924,2023-11-28 13:38:00.000,,,,
76,WO107029-10,58,12626,2024-01-12 10:25:00.000,2023-09-04 00:00:00.000,130 days 10:25:00,121 days 15:59:00,8 days 18:26:00
76,WO107029-20,53,81,2024-01-16 11:28:00.000,2023-09-04 00:00:00.000,134 days 11:28:00,134 days 10:07:00,0 days 01:21:00
75,WO107030-10,58,984,2023-11-28 14:38:00.000,2023-09-04 00:00:00.000,85 days 14:38:00,84 days 22:14:00,0 days 16:24:00
75,WO107030-20,53,6772,2023-12-20 09:15:00.000,2023-09-04 00:00:00.000,107 days 09:15:00,102 days 16:23:00,4 days 16:52:00
73,WO107031-10,58,954,2023-11-28 14:08:00.000,2023-09-04 00:00:00.000,85 days 14:08:00,84 days 22:14:00,0 days 15:54:00
73,WO107031-20,53,4382,2023-12-13 07:10:00.000,2023-09-04 00:00:00.000,100 days 07:10:00,97 days 06:08:00,3 days 01:02:00
72,WO107032-10,58,7786,2024-01-01 07:13:00.000,2023-09-04 00:00:00.000,119 days 07:13:00,113 days 21:27:00,5 days 09:46:00
72,WO107032-20,53,483,2024-01-04 07:17:00.000,2023-09-04 00:00:00.000,122 days 07:17:00,121 days 23:14:00,0 days 08:03:00
74,WO107033-10,58,1052,2023-11-29 11:01:00.000,,,,
74,WO107033-20,53,5095,2023-12-18 07:28:00.000,,,,
65,WO107082-10,16|17,383,2023-11-28 14:29:05.400,,,,
46,WO107121-20,69,0,2023-11-27 07:00:00.000,2023-06-01 00:00:00.000,179 days 07:00:00,179 days 07:00:00,0 days 00:00:00
29,WO107571-10,67,141,2024-02-12 09:32:00.000,2023-12-20 00:00:00.000,54 days 09:32:00,54 days 07:11:00,0 days 02:21:00
30,WO107572-10,67,31,2024-02-28 10:53:00.000,2023-12-20 00:00:00.000,70 days 10:53:00,70 days 10:22:00,0 days 00:31:00
30,WO107627-10,38,956,2023-11-28 14:09:27.600,2023-12-20 00:00:00.000,-22 days +14:09:27.600000,-23 days +22:13:27.600000,0 days 15:56:00
30,WO107628-10,38,1304,2023-11-29 11:37:00.000,2023-12-20 00:00:00.000,-21 days +11:37:00,-22 days +13:53:00,0 days 21:44:00
30,WO107630-10,38,926,2023-11-28 15:05:00.000,2023-12-20 00:00:00.000,-22 days +15:05:00,-23 days +23:39:00,0 days 15:26:00
30,WO107631-10,38,1346,2023-11-29 12:11:42.600,2023-12-20 00:00:00.000,-21 days +12:11:42.600000,-22 days +13:45:42.600000,0 days 22:26:00
30,WO107632-10,67,7,2023-12-11 14:45:00.000,2023-12-20 00:00:00.000,-9 days +14:45:00,-9 days +14:38:00,0 days 00:07:00
30,WO107633-10,38,0,2023-11-28 14:55:00.000,2023-12-20 00:00:00.000,-22 days +14:55:00,-22 days +14:55:00,0 days 00:00:00
30,WO107634-10,38,1359,2023-11-29 12:07:00.000,2023-12-20 00:00:00.000,-21 days +12:07:00,-22 days +13:28:00,0 days 22:39:00
30,WO107635-10,38,1197,2023-11-29 09:24:51.600,2023-12-20 00:00:00.000,-21 days +09:24:51.600000,-22 days +13:27:51.600000,0 days 19:57:00
30,WO107636-10,38,0,2023-11-28 13:40:00.000,2023-12-20 00:00:00.000,-22 days +13:40:00,-22 days +13:40:00,0 days 00:00:00
29,WO107643-10,38,866,2023-11-28 12:40:00.000,2023-12-20 00:00:00.000,-22 days +12:40:00,-23 days +22:14:00,0 days 14:26:00
29,WO107644-10,38,836,2023-11-28 12:10:00.000,2023-12-20 00:00:00.000,-22 days +12:10:00,-23 days +22:14:00,0 days 13:56:00
29,WO107645-10,38,851,2023-11-28 12:25:00.000,2023-12-20 00:00:00.000,-22 days +12:25:00,-23 days +22:14:00,0 days 14:11:00
29,WO107646-10,38,881,2023-11-28 12:55:00.000,2023-12-20 00:00:00.000,-22 days +12:55:00,-23 days +22:14:00,0 days 14:41:00
30,WO108125-10,67,0,2023-11-27 07:41:00.000,2023-12-20 00:00:00.000,-23 days +07:41:00,-23 days +07:41:00,0 days 00:00:00
48,WO108551-10,9,5666,2023-12-13 06:45:00.000,2023-06-02 00:00:00.000,194 days 06:45:00,190 days 08:19:00,3 days 22:26:00
96,WO108721-40,39,1052,2023-11-29 14:00:00.000,2023-10-26 00:00:00.000,34 days 14:00:00,33 days 20:28:00,0 days 17:32:00
30,WO108799-10,38,1052,2023-11-29 10:42:00.000,2023-12-20 00:00:00.000,-21 days +10:42:00,-22 days +17:10:00,0 days 17:32:00
30,WO108800-10,38,0,2023-12-07 13:18:00.000,2023-12-20 00:00:00.000,-13 days +13:18:00,-13 days +13:18:00,0 days 00:00:00
30,WO108811-10,38,896,2023-11-28 13:10:00.000,2023-12-20 00:00:00.000,-22 days +13:10:00,-23 days +22:14:00,0 days 14:56:00
30,WO108831-40,9,3998,2023-12-07 10:30:00.000,2023-12-20 00:00:00.000,-13 days +10:30:00,-16 days +15:52:00,2 days 18:38:00
49,WO108857-10,8,30,2023-11-27 10:05:00.000,2023-06-08 00:00:00.000,172 days 10:05:00,172 days 09:35:00,0 days 00:30:00
58,WO109188-30,46,0,2023-11-27 07:04:00.000,2023-08-07 00:00:00.000,112 days 07:04:00,112 days 07:04:00,0 days 00:00:00
50,WO109308-10,2|1,30,2023-11-28 09:29:00.000,,,,
50,WO109308-20,104,0,2023-11-28 09:59:00.000,,,,
117,WO109394-10,58,1323,2023-11-29 13:13:00.000,2023-11-07 00:00:00.000,22 days 13:13:00,21 days 15:10:00,0 days 22:03:00
119,WO109395-30,58,19044,2024-01-22 09:44:00.000,,,,
178,WO109560-30,91,3862,2023-12-11 07:30:00.000,,,,
55,WO109612-20,70,30,2023-11-27 11:26:00.000,2023-07-10 00:00:00.000,140 days 11:26:00,140 days 10:56:00,0 days 00:30:00
156,WO109795-10,67,302,2024-01-12 07:29:00.000,2023-11-22 00:00:00.000,51 days 07:29:00,51 days 02:27:00,0 days 05:02:00
154,WO109796-10,38,0,2023-12-13 11:20:00.000,2023-11-22 00:00:00.000,21 days 11:20:00,21 days 11:20:00,0 days 00:00:00
156,WO109797-10,67,96,2023-12-14 10:14:42.600,2023-11-22 00:00:00.000,22 days 10:14:42.600000,22 days 08:38:42.600000,0 days 01:36:00
156,WO109798-10,38,2630,2023-12-04 10:30:00.000,,,,
156,WO109799-10,38,1988,2023-12-04 07:08:41.400,,,,
156,WO109800-10,38,2570,2023-12-04 09:30:00.000,,,,
156,WO109801-10,38,2645,2023-12-04 10:45:00.000,,,,
156,WO109802-10,38,2488,2023-12-04 08:08:41.400,,,,
156,WO109803-10,38,2510,2023-12-04 08:30:00.000,,,,
156,WO109804-10,38,2450,2023-12-04 07:30:00.000,,,,
156,WO109805-10,38,2458,2023-12-04 07:38:41.400,,,,
156,WO109806-10,38,2615,2023-12-04 10:15:00.000,,,,
156,WO109807-10,38,2585,2023-12-04 09:45:00.000,,,,
156,WO109808-10,38,2540,2023-12-04 09:00:00.000,,,,
156,WO109809-10,38,2600,2023-12-04 10:00:00.000,,,,
156,WO109812-10,38,2660,2023-12-04 11:00:00.000,2023-11-22 00:00:00.000,12 days 11:00:00,10 days 14:40:00,1 days 20:20:00
156,WO109813-10,38,653,2023-12-04 07:00:00.000,,,,
156,WO109814-10,38,2480,2023-12-04 08:00:00.000,,,,
156,WO109816-20,9,6357,2023-12-13 14:45:00.000,,,,
156,WO109817-30,42,981,2023-11-28 14:35:00.000,,,,
156,WO109817-40,39,0,2023-11-28 15:05:00.000,,,,
156,WO109818-20,9,6207,2023-12-13 12:15:00.000,,,,
156,WO109820-10,67,194,2023-11-27 10:14:00.000,2023-11-22 00:00:00.000,5 days 10:14:00,5 days 07:00:00,0 days 03:14:00
156,WO109883-10,67,0,2023-12-13 14:01:00.000,,,,
156,WO109884-10,67,0,2023-12-13 15:01:00.000,,,,
156,WO109887-20,8,573,2023-11-28 10:05:00.000,2023-11-01 00:00:00.000,27 days 10:05:00,27 days 00:32:00,0 days 09:33:00
156,WO109887-30,16|17,123,2023-11-28 12:46:00.000,2023-11-01 00:00:00.000,27 days 12:46:00,27 days 10:43:00,0 days 02:03:00
156,WO109887-40,24,150,2023-11-30 09:39:00.000,2023-11-01 00:00:00.000,29 days 09:39:00,29 days 07:09:00,0 days 02:30:00
156,WO109893-20,9,6297,2023-12-13 13:45:00.000,,,,
156,WO109894-20,9,6327,2023-12-13 14:15:00.000,,,,
156,WO109895-20,9,6267,2023-12-13 13:15:00.000,,,,
156,WO109896-20,9,6237,2023-12-13 12:45:00.000,,,,
154,WO109957-10,67,0,2023-12-13 10:50:00.000,2023-11-22 00:00:00.000,21 days 10:50:00,21 days 10:50:00,0 days 00:00:00
154,WO109958-10,67,0,2023-12-13 10:25:00.000,2023-11-22 00:00:00.000,21 days 10:25:00,21 days 10:25:00,0 days 00:00:00
154,WO109960-20,9,6027,2023-12-13 09:15:00.000,2023-11-22 00:00:00.000,21 days 09:15:00,17 days 04:48:00,4 days 04:27:00
154,WO109961-20,9,6057,2023-12-13 09:45:00.000,2023-11-22 00:00:00.000,21 days 09:45:00,17 days 04:48:00,4 days 04:57:00
154,WO109962-20,9,6087,2023-12-13 10:15:00.000,2023-11-22 00:00:00.000,21 days 10:15:00,17 days 04:48:00,4 days 05:27:00
174,WO109978-10,67,1812,2023-12-08 10:41:00.000,2023-11-28 00:00:00.000,10 days 10:41:00,9 days 04:29:00,1 days 06:12:00
153,WO109979-10,67,73,2023-11-30 12:34:00.000,2023-11-22 00:00:00.000,8 days 12:34:00,8 days 11:21:00,0 days 01:13:00
174,WO109980-10,67,376,2023-11-28 08:07:00.000,,,,
153,WO109982-10,67,190,2023-11-27 11:10:00.000,,,,
92,WO110133-10,67,83,2023-11-27 08:23:00.000,,,,
93,WO110136-10,67,0,2023-12-01 08:30:00.000,,,,
120,WO110140-10,67,119,2023-11-27 08:59:51.600,,,,
118,WO110141-10,67,113,2023-11-27 08:53:00.000,,,,
93,WO110143-10,38,2021,2023-12-01 07:00:00.000,,,,
93,WO110143-20,42,0,2023-12-01 07:30:00.000,,,,
93,WO110143-30,39,0,2023-12-01 08:00:00.000,,,,
93,WO110151-10,2|1,53,2023-11-27 07:53:00.000,,,,
54,WO110244-10,69,30,2023-11-27 08:42:00.000,2023-07-05 00:00:00.000,145 days 08:42:00,145 days 08:12:00,0 days 00:30:00
54,WO110244-20,77,5234,2023-12-21 08:32:00.000,2023-07-05 00:00:00.000,169 days 08:32:00,165 days 17:18:00,3 days 15:14:00
54,WO110244-30,69,404,2024-01-05 07:48:00.000,2023-07-05 00:00:00.000,184 days 07:48:00,184 days 01:04:00,0 days 06:44:00
102,WO110331-10,58,17992,2024-01-18 10:57:00.000,2023-10-27 00:00:00.000,83 days 10:57:00,70 days 23:05:00,12 days 11:52:00
102,WO110331-20,53,259,2024-01-22 12:46:00.000,2023-10-27 00:00:00.000,87 days 12:46:00,87 days 08:27:00,0 days 04:19:00
98,WO110333-10,58,16940,2024-01-16 07:45:00.000,2023-10-27 00:00:00.000,81 days 07:45:00,69 days 13:25:00,11 days 18:20:00
69,WO110362-10,38,1512,2023-11-30 07:05:42.600,2023-08-30 00:00:00.000,92 days 07:05:42.600000,91 days 05:53:42.600000,1 days 01:12:00
94,WO110388-10,30,2946,2023-12-07 07:55:00.000,2023-10-24 00:00:00.000,44 days 07:55:00,42 days 06:49:00,2 days 01:06:00
152,WO110400-10,30,30,2023-11-27 07:30:00.000,2023-11-21 00:00:00.000,6 days 07:30:00,6 days 07:00:00,0 days 00:30:00
95,WO110547-10,30,4524,2023-12-12 11:25:00.000,2023-10-24 00:00:00.000,49 days 11:25:00,46 days 08:01:00,3 days 03:24:00
28,WO110574-10,67,327,2024-01-19 11:38:00.000,2023-12-20 00:00:00.000,30 days 11:38:00,30 days 06:11:00,0 days 05:27:00
27,WO110580-10,67,144,2023-12-07 13:25:00.000,2023-12-20 00:00:00.000,-13 days +13:25:00,-13 days +11:01:00,0 days 02:24:00
28,WO110601-10,16|17,0,2023-11-27 09:00:00.000,2023-12-20 00:00:00.000,-23 days +09:00:00,-23 days +09:00:00,0 days 00:00:00
28,WO110601-20,9,3421,2023-12-06 09:49:55.800,2023-12-20 00:00:00.000,-14 days +09:49:55.800000,-16 days +00:48:55.800000,2 days 09:01:00
28,WO110609-10,36,120,2023-11-27 09:00:00.000,2023-12-20 00:00:00.000,-23 days +09:00:00,-23 days +07:00:00,0 days 02:00:00
28,WO110687-0,36,90,2023-11-27 08:30:00.000,,,,
27,WO110697-20,9,3542,2023-12-06 08:09:55.800,2023-12-20 00:00:00.000,-14 days +08:09:55.800000,-17 days +21:07:55.800000,2 days 11:02:00
27,WO110698-20,9,1447,2023-11-29 13:35:00.000,2023-12-20 00:00:00.000,-21 days +13:35:00,-22 days +13:28:00,1 days 00:07:00
27,WO110699-10,16|17,0,2023-12-06 11:32:00.000,2023-12-20 00:00:00.000,-14 days +11:32:00,-14 days +11:32:00,0 days 00:00:00
27,WO110699-20,9,0,2023-12-06 12:52:00.000,2023-12-20 00:00:00.000,-14 days +12:52:00,-14 days +12:52:00,0 days 00:00:00
27,WO110700-20,9,1477,2023-11-29 14:55:00.000,2023-12-20 00:00:00.000,-21 days +14:55:00,-22 days +14:18:00,1 days 00:37:00
27,WO110707-10,16|17,74,2023-11-28 08:00:00.000,,,,
27,WO110707-20,9,1924,2023-12-06 07:40:00.000,,,,
27,WO110708-20,9,1367,2023-11-29 13:05:00.000,2023-12-20 00:00:00.000,-21 days +13:05:00,-22 days +14:18:00,0 days 22:47:00
27,WO110709-20,9,1287,2023-11-29 11:45:00.000,,,,
91,WO110762-10,30,0,2023-11-27 07:00:00.000,2023-10-09 00:00:00.000,49 days 07:00:00,49 days 07:00:00,0 days 00:00:00
145,WO110804-10,30,5892,2023-12-15 07:46:00.000,2023-11-20 00:00:00.000,25 days 07:46:00,21 days 05:34:00,4 days 02:12:00
70,WO111127-10,30,0,2023-12-04 09:47:00.000,2023-08-31 00:00:00.000,95 days 09:47:00,95 days 09:47:00,0 days 00:00:00
70,WO111128-30,91,30,2023-11-27 07:30:00.000,,,,
163,WO111130-10,95,1140,2023-12-04 10:40:00.000,,,,
163,WO111142-10,67,280,2023-11-27 11:39:52.800,,,,
306,WO111172-10,67,421,2024-05-07 14:49:00.000,2024-02-20 00:00:00.000,77 days 14:49:00,77 days 07:48:00,0 days 07:01:00
306,WO111176-10,38,5892,2023-12-15 06:39:00.000,2024-02-20 00:00:00.000,-67 days +06:39:00,-71 days +04:27:00,4 days 02:12:00
306,WO111177-10,38,5406,2023-12-12 07:50:00.000,2024-02-20 00:00:00.000,-70 days +07:50:00,-74 days +13:44:00,3 days 18:06:00
306,WO111182-10,67,1166,2023-11-29 08:54:55.800,2024-02-20 00:00:00.000,-83 days +08:54:55.800000,-84 days +13:28:55.800000,0 days 19:26:00
306,WO111184-10,38,5419,2023-12-12 09:23:00.000,2024-02-20 00:00:00.000,-70 days +09:23:00,-74 days +15:04:00,3 days 18:19:00
306,WO111185-10,38,0,2024-02-07 15:11:00.000,2024-02-20 00:00:00.000,-13 days +15:11:00,-13 days +15:11:00,0 days 00:00:00
306,WO111185-20,9,5,2024-02-08 07:00:00.000,2024-02-20 00:00:00.000,-12 days +07:00:00,-12 days +06:55:00,0 days 00:05:00
306,WO111186-20,69,25555,2024-02-07 14:41:00.000,,,,
306,WO111197-10,38,5476,2023-12-12 08:50:00.000,2024-02-20 00:00:00.000,-70 days +08:50:00,-74 days +13:34:00,3 days 19:16:00
306,WO111198-10,38,0,2024-02-12 08:26:00.000,2024-02-20 00:00:00.000,-8 days +08:26:00,-8 days +08:26:00,0 days 00:00:00
306,WO111199-10,38,5506,2023-12-12 09:20:00.000,2024-02-20 00:00:00.000,-70 days +09:20:00,-74 days +13:34:00,3 days 19:46:00
306,WO111200-10,38,5446,2023-12-12 08:20:00.000,2024-02-20 00:00:00.000,-70 days +08:20:00,-74 days +13:34:00,3 days 18:46:00
306,WO111202-10,38,0,2024-02-05 12:00:00.000,2024-02-20 00:00:00.000,-15 days +12:00:00,-15 days +12:00:00,0 days 00:00:00
306,WO111205-10,2|1,6586,2023-12-11 13:40:00.000,2024-02-20 00:00:00.000,-71 days +13:40:00,-76 days +23:54:00,4 days 13:46:00
306,WO111205-20,9,19200,2024-02-05 11:30:00.000,2024-02-20 00:00:00.000,-15 days +11:30:00,-28 days +03:30:00,13 days 08:00:00
306,WO111231-10,31,26304,2024-02-12 07:56:00.000,2024-02-20 00:00:00.000,-8 days +07:56:00,-26 days +01:32:00,18 days 06:24:00
306,WO111240-10,38,0,2024-03-04 09:30:00.000,2024-02-20 00:00:00.000,13 days 09:30:00,13 days 09:30:00,0 days 00:00:00
306,WO111241-10,38,0,2024-02-05 12:00:00.000,2024-02-20 00:00:00.000,-15 days +12:00:00,-15 days +12:00:00,0 days 00:00:00
306,WO111242-10,67,10056,2024-03-07 09:00:00.000,2024-02-20 00:00:00.000,16 days 09:00:00,9 days 09:24:00,6 days 23:36:00
306,WO111245-10,38,5294,2023-12-11 14:34:00.000,2024-02-20 00:00:00.000,-71 days +14:34:00,-75 days +22:20:00,3 days 16:14:00
306,WO111262-10,103,615,2024-03-01 10:00:00.000,2024-02-20 00:00:00.000,10 days 10:00:00,9 days 23:45:00,0 days 10:15:00
306,WO111262-20,9,106,2024-03-04 08:30:00.000,2024-02-20 00:00:00.000,13 days 08:30:00,13 days 06:44:00,0 days 01:46:00
306,WO111263-10,103,24548,2024-02-01 17:14:00.000,2024-02-20 00:00:00.000,-19 days +17:14:00,-36 days +16:06:00,17 days 01:08:00
306,WO111263-20,9,466,2024-02-05 11:00:00.000,2024-02-20 00:00:00.000,-15 days +11:00:00,-15 days +03:14:00,0 days 07:46:00
306,WO111265-10,38,5345,2023-12-12 07:10:00.000,2024-02-20 00:00:00.000,-70 days +07:10:00,-74 days +14:05:00,3 days 17:05:00
306,WO111267-10,84,17814,2023-12-15 08:50:00.000,,,,
306,WO111278-20,31,26261,2024-02-16 07:01:00.000,2024-02-20 00:00:00.000,-4 days +07:01:00,-22 days +01:20:00,18 days 05:41:00
306,WO111289-10,38,0,2024-03-19 10:15:00.000,2024-02-20 00:00:00.000,28 days 10:15:00,28 days 10:15:00,0 days 00:00:00
