Priority,WorkOrder,capable_resource_groups,idle_minutes,ETA,DueDate,Delay,DelayWithoutIdleTime,TimeDifference
285,WO116818-10,16|17,425,2023-12-20 09:40:00.000,2024-01-31 00:00:00.000,-42 days +09:40:00,-42 days +02:35:00,0 days 07:05:00
285,WO116819-10,16|17,15,2023-12-06 09:59:00.000,2024-01-31 00:00:00.000,-56 days +09:59:00,-56 days +09:44:00,0 days 00:15:00
285,WO116820-10,84,8942,2023-12-06 08:25:00.000,2024-01-31 00:00:00.000,-56 days +08:25:00,-62 days +03:23:00,6 days 05:02:00
285,WO116820-20,8,0,2023-12-06 10:11:00.000,2024-01-31 00:00:00.000,-56 days +10:11:00,-56 days +10:11:00,0 days 00:00:00
285,WO116821-10,84,8972,2023-12-06 08:55:00.000,2024-01-31 00:00:00.000,-56 days +08:55:00,-62 days +03:23:00,6 days 05:32:00
285,WO116822-10,84,8962,2023-12-06 08:45:00.000,2024-01-31 00:00:00.000,-56 days +08:45:00,-62 days +03:23:00,6 days 05:22:00
285,WO116829-10,36,3208,2023-12-05 11:22:00.000,,,,
285,WO116830-10,36,3238,2023-12-05 11:52:00.000,,,,
285,WO116831-10,36,3178,2023-12-05 10:52:00.000,,,,
285,WO116832-10,84,8992,2023-12-06 09:15:00.000,2024-01-31 00:00:00.000,-56 days +09:15:00,-62 days +03:23:00,6 days 05:52:00
285,WO116832-20,3,10883,2024-01-08 07:01:00.000,2024-01-31 00:00:00.000,-23 days +07:01:00,-31 days +17:38:00,7 days 13:23:00
285,WO116833-10,84,8947,2023-12-06 08:40:00.000,2024-01-31 00:00:00.000,-56 days +08:40:00,-62 days +03:33:00,6 days 05:07:00
285,WO116834-10,16|17,326,2023-12-07 11:56:00.000,2024-01-31 00:00:00.000,-55 days +11:56:00,-55 days +06:30:00,0 days 05:26:00
285,WO116834-20,9,12736,2024-01-15 08:59:52.200,2024-01-31 00:00:00.000,-16 days +08:59:52.200000,-25 days +12:43:52.200000,8 days 20:16:00
285,WO116836-10,84,9147,2023-12-06 11:50:00.000,2024-01-31 00:00:00.000,-56 days +11:50:00,-62 days +03:23:00,6 days 08:27:00
228,WO116838-10,36,1998,2023-11-30 14:00:00.000,2023-12-15 00:00:00.000,-15 days +14:00:00,-16 days +04:42:00,1 days 09:18:00
228,WO116838-20,57,620,2023-12-04 12:48:00.000,2023-12-15 00:00:00.000,-11 days +12:48:00,-11 days +02:28:00,0 days 10:20:00
228,WO116838-30,42,5011,2023-12-19 07:23:00.000,2023-12-15 00:00:00.000,4 days 07:23:00,0 days 19:52:00,3 days 11:31:00
228,WO116838-40,39,0,2023-12-19 07:53:00.000,2023-12-15 00:00:00.000,4 days 07:53:00,4 days 07:53:00,0 days 00:00:00
227,WO116839-10,36,1968,2023-11-30 13:30:00.000,,,,
227,WO116839-20,24,0,2023-11-30 14:30:00.000,2023-12-15 00:00:00.000,-15 days +14:30:00,-15 days +14:30:00,0 days 00:00:00
227,WO116839-30,69,2916,2023-12-11 11:30:00.000,2023-12-15 00:00:00.000,-4 days +11:30:00,-6 days +10:54:00,2 days 00:36:00
284,WO116845-10,36,3078,2023-12-05 10:22:00.000,2024-01-31 00:00:00.000,-57 days +10:22:00,-59 days +07:04:00,2 days 03:18:00
284,WO116845-20,24,1180,2023-12-11 10:17:00.000,2024-01-31 00:00:00.000,-51 days +10:17:00,-52 days +14:37:00,0 days 19:40:00
206,WO116846-10,36,1578,2023-11-30 09:00:00.000,,,,
206,WO116846-20,83,250,2023-12-04 10:18:00.000,2023-12-11 00:00:00.000,-7 days +10:18:00,-7 days +06:08:00,0 days 04:10:00
315,WO116859-10,58,16859,2024-01-12 11:19:00.000,2024-04-16 00:00:00.000,-95 days +11:19:00,-107 days +18:20:00,11 days 16:59:00
315,WO116859-20,53,8865,2024-02-09 09:15:00.000,2024-04-16 00:00:00.000,-67 days +09:15:00,-73 days +05:30:00,6 days 03:45:00
314,WO116860-10,59,7786,2023-12-21 12:10:00.000,2024-04-16 00:00:00.000,-117 days +12:10:00,-122 days +02:24:00,5 days 09:46:00
314,WO116860-20,53,14706,2024-02-05 15:15:00.000,2024-04-16 00:00:00.000,-71 days +15:15:00,-81 days +10:09:00,10 days 05:06:00
313,WO116861-10,31,28724,2024-02-19 11:13:00.000,2024-04-16 00:00:00.000,-57 days +11:13:00,-77 days +12:29:00,19 days 22:44:00
307,WO116862-10,2|1,7752,2023-12-18 12:22:00.000,2024-03-08 00:00:00.000,-81 days +12:22:00,-86 days +03:10:00,5 days 09:12:00
312,WO116865-10,30,176,2024-01-23 10:29:00.000,2024-04-16 00:00:00.000,-84 days +10:29:00,-84 days +07:33:00,0 days 02:56:00
319,WO116867-10,67,3540,2024-04-08 13:17:00.000,2024-04-24 00:00:00.000,-16 days +13:17:00,-18 days +02:17:00,2 days 11:00:00
316,WO116868-10,2|1,0,2024-01-18 16:12:00.000,2024-04-16 00:00:00.000,-89 days +16:12:00,-89 days +16:12:00,0 days 00:00:00
316,WO116868-20,9,5546,2024-02-05 13:30:00.000,2024-04-16 00:00:00.000,-71 days +13:30:00,-75 days +17:04:00,3 days 20:26:00
316,WO116869-10,84,18554,2023-12-18 08:29:00.000,2024-04-16 00:00:00.000,-120 days +08:29:00,-133 days +11:15:00,12 days 21:14:00
316,WO116869-20,3,11489,2024-01-18 15:15:00.000,2024-04-16 00:00:00.000,-89 days +15:15:00,-97 days +15:46:00,7 days 23:29:00
316,WO116870-10,84,18540,2023-12-18 08:15:00.000,2024-04-16 00:00:00.000,-120 days +08:15:00,-133 days +11:15:00,12 days 21:00:00
316,WO116870-20,3,10855,2024-01-17 14:47:00.000,2024-04-16 00:00:00.000,-90 days +14:47:00,-97 days +01:52:00,7 days 12:55:00
319,WO116871-10,84,23929,2023-12-22 08:00:00.000,2024-04-24 00:00:00.000,-124 days +08:00:00,-141 days +17:11:00,16 days 14:49:00
319,WO116871-20,3,19676,2024-02-19 08:30:00.000,2024-04-24 00:00:00.000,-65 days +08:30:00,-79 days +16:34:00,13 days 15:56:00
319,WO116872-10,84,23123,2023-12-21 17:05:00.000,2024-04-24 00:00:00.000,-125 days +17:05:00,-141 days +15:42:00,16 days 01:23:00
319,WO116872-20,3,11463,2024-01-24 13:55:00.000,2024-04-24 00:00:00.000,-91 days +13:55:00,-99 days +14:52:00,7 days 23:03:00
319,WO116873-10,84,23879,2023-12-22 07:20:00.000,2024-04-24 00:00:00.000,-124 days +07:20:00,-141 days +17:21:00,16 days 13:59:00
319,WO116873-20,3,19626,2024-02-19 07:00:00.000,2024-04-24 00:00:00.000,-65 days +07:00:00,-79 days +15:54:00,13 days 15:06:00
319,WO116874-10,84,23949,2023-12-22 08:30:00.000,2024-04-24 00:00:00.000,-124 days +08:30:00,-141 days +17:21:00,16 days 15:09:00
319,WO116874-20,3,19676,2024-02-19 09:00:00.000,2024-04-24 00:00:00.000,-65 days +09:00:00,-79 days +17:04:00,13 days 15:56:00
319,WO116875-10,84,23023,2023-12-22 06:40:00.000,2024-04-24 00:00:00.000,-124 days +06:40:00,-140 days +06:57:00,15 days 23:43:00
319,WO116875-20,3,11483,2024-01-24 14:25:00.000,2024-04-24 00:00:00.000,-91 days +14:25:00,-99 days +15:02:00,7 days 23:23:00
319,WO116876-10,84,23153,2023-12-22 07:00:00.000,2024-04-24 00:00:00.000,-124 days +07:00:00,-140 days +05:07:00,16 days 01:53:00
319,WO116876-20,3,11493,2024-01-24 14:55:00.000,2024-04-24 00:00:00.000,-91 days +14:55:00,-99 days +15:22:00,7 days 23:33:00
319,WO116877-10,84,23899,2023-12-22 07:30:00.000,2024-04-24 00:00:00.000,-124 days +07:30:00,-141 days +17:11:00,16 days 14:19:00
319,WO116877-20,3,19646,2024-02-19 07:30:00.000,2024-04-24 00:00:00.000,-65 days +07:30:00,-79 days +16:04:00,13 days 15:26:00
319,WO116878-10,84,23919,2023-12-22 07:50:00.000,2024-04-24 00:00:00.000,-124 days +07:50:00,-141 days +17:11:00,16 days 14:39:00
319,WO116878-20,3,19656,2024-02-19 08:00:00.000,2024-04-24 00:00:00.000,-65 days +08:00:00,-79 days +16:24:00,13 days 15:36:00
319,WO116879-10,67,9578,2024-02-29 11:36:00.000,2024-04-24 00:00:00.000,-55 days +11:36:00,-62 days +19:58:00,6 days 15:38:00
319,WO116880-10,67,203,2024-03-13 10:38:00.000,2024-04-24 00:00:00.000,-42 days +10:38:00,-42 days +07:15:00,0 days 03:23:00
319,WO116881-10,67,11314,2024-03-01 07:33:00.000,2024-04-24 00:00:00.000,-54 days +07:33:00,-62 days +10:59:00,7 days 20:34:00
311,WO116882-10,67,1211,2024-03-26 08:08:00.000,2024-04-16 00:00:00.000,-21 days +08:08:00,-22 days +11:57:00,0 days 20:11:00
310,WO116883-10,67,14024,2024-01-30 08:57:00.000,2024-04-16 00:00:00.000,-77 days +08:57:00,-87 days +15:13:00,9 days 17:44:00
311,WO116884-10,36,5456,2023-12-12 09:40:00.000,2024-04-16 00:00:00.000,-126 days +09:40:00,-130 days +14:44:00,3 days 18:56:00
311,WO116884-20,24,336,2023-12-15 11:18:00.000,2024-04-16 00:00:00.000,-123 days +11:18:00,-123 days +05:42:00,0 days 05:36:00
308,WO116885-10,84,17854,2023-12-15 13:00:00.000,2024-01-19 00:00:00.000,-35 days +13:00:00,-47 days +03:26:00,12 days 09:34:00
308,WO116885-20,69,19886,2024-02-15 07:15:00.000,2024-01-19 00:00:00.000,27 days 07:15:00,13 days 11:49:00,13 days 19:26:00
308,WO116885-30,9,0,2024-02-15 11:25:00.000,2024-01-19 00:00:00.000,27 days 11:25:00,27 days 11:25:00,0 days 00:00:00
312,WO116887-20,3,18518,2024-01-18 12:20:00.000,2024-01-19 00:00:00.000,-1 days +12:20:00,-14 days +15:42:00,12 days 20:38:00
319,WO116894-10,2|1,1115,2024-01-31 08:12:00.000,2024-04-24 00:00:00.000,-84 days +08:12:00,-85 days +13:37:00,0 days 18:35:00
319,WO116895-10,67,402,2024-01-23 13:44:00.000,2024-04-24 00:00:00.000,-92 days +13:44:00,-92 days +07:02:00,0 days 06:42:00
319,WO116896-10,2|1,5941,2023-12-08 11:31:00.000,2024-04-24 00:00:00.000,-138 days +11:31:00,-142 days +08:30:00,4 days 03:01:00
319,WO116898-10,84,18846,2023-12-18 13:21:00.000,2024-04-24 00:00:00.000,-128 days +13:21:00,-141 days +11:15:00,13 days 02:06:00
319,WO116898-20,3,11866,2024-01-22 10:12:00.000,2024-04-24 00:00:00.000,-93 days +10:12:00,-101 days +04:26:00,8 days 05:46:00
319,WO116899-10,84,18786,2023-12-18 12:51:00.000,2024-04-24 00:00:00.000,-128 days +12:51:00,-141 days +11:45:00,13 days 01:06:00
319,WO116900-10,84,18740,2023-12-18 13:05:00.000,2024-04-24 00:00:00.000,-128 days +13:05:00,-141 days +12:45:00,13 days 00:20:00
319,WO116901-10,84,18570,2023-12-18 10:15:00.000,2024-04-24 00:00:00.000,-128 days +10:15:00,-141 days +12:45:00,12 days 21:30:00
319,WO116901-20,3,11559,2024-01-19 10:30:00.000,2024-04-24 00:00:00.000,-96 days +10:30:00,-104 days +09:51:00,8 days 00:39:00
319,WO116902-10,84,18690,2023-12-18 11:03:00.000,2024-04-24 00:00:00.000,-128 days +11:03:00,-141 days +11:33:00,12 days 23:30:00
319,WO116902-20,3,11860,2024-01-22 07:51:00.000,2024-04-24 00:00:00.000,-93 days +07:51:00,-101 days +02:11:00,8 days 05:40:00
319,WO116903-10,84,18584,2023-12-18 09:29:00.000,2024-04-24 00:00:00.000,-128 days +09:29:00,-141 days +11:45:00,12 days 21:44:00
319,WO116903-20,3,11845,2024-01-19 11:30:00.000,2024-04-24 00:00:00.000,-96 days +11:30:00,-104 days +06:05:00,8 days 05:25:00
319,WO116904-10,84,18692,2023-12-18 11:05:00.000,2024-04-24 00:00:00.000,-128 days +11:05:00,-141 days +11:33:00,12 days 23:32:00
319,WO116904-20,3,11906,2024-01-22 08:39:00.000,2024-04-24 00:00:00.000,-93 days +08:39:00,-101 days +02:13:00,8 days 06:26:00
319,WO116905-10,84,18644,2023-12-18 10:17:00.000,2024-04-24 00:00:00.000,-128 days +10:17:00,-141 days +11:33:00,12 days 22:44:00
319,WO116905-20,3,11857,2024-01-22 07:03:00.000,2024-04-24 00:00:00.000,-93 days +07:03:00,-101 days +01:26:00,8 days 05:37:00
319,WO116906-10,84,18738,2023-12-18 11:51:00.000,2024-04-24 00:00:00.000,-128 days +11:51:00,-141 days +11:33:00,13 days 00:18:00
319,WO116906-20,3,11908,2024-01-22 09:27:00.000,2024-04-24 00:00:00.000,-93 days +09:27:00,-101 days +02:59:00,8 days 06:28:00
319,WO116907-10,36,5556,2023-12-12 10:10:00.000,2024-04-24 00:00:00.000,-134 days +10:10:00,-138 days +13:34:00,3 days 20:36:00
